locality,ward
Bannerghatta Road,NOT FOUND
Basavanagudi,NOT FOUND
Basavangudi,NOT FOUND
Begur Koppa Road,NOT FOUND
Begur-Koppa Road,NOT FOUND
Bidaraguppe,NOT FOUND
Bilekahalli,NOT FOUND
Bommanahalli,Bommanahalli
BTM Layout,NOT FOUND
BTS Layout,Arakere
Bull Temple Road,NOT FOUND
Chamrajpet Bazar,NOT FOUND
Chandrapura,NOT FOUND
Chikkalasandra,NOT FOUND
Davanagere,NOT FOUND
Davangere,NOT FOUND
Diagonal Road,NOT FOUND
Doddakallasandra,Vasanthapura
Doddamavalli,NOT FOUND
Doddathogur,NOT FOUND
Doddathogur village,NOT FOUND
Dommasandra,NOT FOUND
Ejipura,Ejipura
Electronics city,NOT FOUND
Electronics City,NOT FOUND
Gandhi Bazar,Sunkenahalli
Gavipuram,Hanumantha Nagar
Girinagar,NOT FOUND
Govindaraj Nagar,NOT FOUND
Halasuru,NOT FOUND
Handenahalli,NOT FOUND
Hanumanthanagar,NOT FOUND
Harapanahalli,NOT FOUND
Hebbagodi,NOT FOUND
Hongasandra,Hongasandra
Hosakerehalli,Hosakerehalli
Hosur Road,NOT FOUND
Hosur Road,NOT FOUND
Hsr Layout,NOT FOUND
Hulimavu,Arakere
ISRO Layout,Doddanekkundi
Ittamadu Layout,NOT FOUND
J P nagar,NOT FOUND
J. P. Nagar,NOT FOUND
J.P. Nagar,NOT FOUND
Jakkasandra Post,NOT FOUND
Jaya Nagar,NOT FOUND
Jayanagar,NOT FOUND
Jayanagar West,NOT FOUND
Jayangar East,NOT FOUND
Jayangar Iii block,NOT FOUND
Jigani,NOT FOUND
Journalist Colony,NOT FOUND
JP Nagar,NOT FOUND
Jp Nagar iii phase,NOT FOUND
K.R. Road,NOT FOUND
Kamanhalli,NOT FOUND
Kammanahalli,Kammanahalli
Kanakapura Road,NOT FOUND
Kathriguppe,Katriguppe
Kempapura,Bellandur
Kendriya Sadan,NOT FOUND
Konanakunte,NOT FOUND
Kumaraswamy Layout,NOT FOUND
Kumbalgodu,NOT FOUND
Kumbaragundi,NOT FOUND
Lakkasandra,NOT FOUND
Lakshman Mudaliar Street,NOT FOUND
Lakshmipura,Hoysala Nagar
Madhavan Park,NOT FOUND
Madivala,Madiwala
Mayasandra,NOT FOUND
Mico Layout,Hongasandra
Mount St joseph,NOT FOUND
Mudaliar Road,NOT FOUND
Muthanallur,NOT FOUND
Nayandahalli,Nayandanahalli
Neelasandra,NOT FOUND
Neralur,NOT FOUND
O.T.C. Road,NOT FOUND
Off Sarjapur Road,NOT FOUND
Padmanabhanagar,Padmanabha Nagar
Padmanabhnagar,NOT FOUND
R.V. Road,NOT FOUND
Raghavendra Nagar,Konanakunte
Raja Rajeshwari Nagar,NOT FOUND
Rajpet,NOT FOUND
Ramanashree Nagar,Begur
Sarjapur,NOT FOUND
Sarjapur Road,NOT FOUND
Sarjapura,NOT FOUND
Shanti Nagar,NOT FOUND
Siddaiah Road,NOT FOUND
Singasandra,Singasandra
State Bank of mysore colony,NOT FOUND
Subramanyapura,Uttarahalli
Sunkalpet,NOT FOUND
Surya city,NOT FOUND
Tavarekere Road,NOT FOUND
Thyagarajanagar,NOT FOUND
Tilak Nagar,NOT FOUND
Tilaknagar,NOT FOUND
Uttarahalli,NOT FOUND
Uttrahlli,NOT FOUND
V.V.Puram,NOT FOUND
Vikramnagar,NOT FOUND
Vivek Nagar,NOT FOUND
Viveknagar,Vannarpet
VV Puram,NOT FOUND
Walton Road,NOT FOUND
Wilson Garden,Hombegowda Nagar
Yadavanahalli,NOT FOUND
Yediyur,Yadiyuru
Yelachenahalli,NOT FOUND
Anubhav Nagar,NOT FOUND
Avani Sringeri mutt,NOT FOUND
Bapuji Nagar,Attiguppe
Bapujinagar,NOT FOUND
Basaveshwara Nagar,Jnanabharathi
Basaveshwaranagar,NOT FOUND
Basaveshwarnagar,NOT FOUND
Basaveswaranagar Ii stage,NOT FOUND
Bhashyam Circle,NOT FOUND
Cambridge Layout,NOT FOUND
Chamarajpet,Chamrajpet
Chamrajpet,NOT FOUND
Chandra Lay out,NOT FOUND
Chandra Layout,Nagarabhavi
Chikkabettahalli,NOT FOUND
Gandhi Nagar,Nagavara
Gaviopuram Extension,NOT FOUND
Gaviopuram Guttanahalli,NOT FOUND
Hegganahalli,Hegganahalli
K H b colony,NOT FOUND
Kamakshipalya,Vrushabhavathi
Kempe Gowda Road,NOT FOUND
Kengeri,Kengeri
Kengiri,NOT FOUND
KHB Colony,Maruthiseva Nagar
Laggere,Laggere
Mahalakshmipuram,NOT FOUND
Mahalakshmipuram Layout,NOT FOUND
Mudalapalya,Moodalapalya
Mysore,NOT FOUND
Mysore Road,NOT FOUND
N. G. E. F Layout,NOT FOUND
Nagarbhavi,NOT FOUND
Narasimharaja Colony,NOT FOUND
Narasimjharaja Road,NOT FOUND
Nehru Main Rd,NOT FOUND
Rajaji Nagar,NOT FOUND
Rajajinagar,NOT FOUND
Rajajinagar I block,NOT FOUND
Rajajinagar Ivth block,NOT FOUND
Rajarajeshwarinagar,NOT FOUND
RPC Layout,Hampi Nagar
Srinivas Nagar,Nandini Layout
Sunkadakatte,Hegganahalli
Tumkur Road,NOT FOUND
Ullal,NOT FOUND
Vidyaranyapura,NOT FOUND
Vijay Nagar,NOT FOUND
Vijayanagar,Hagadooru
Vijayanagar East,NOT FOUND
